measured time starting at queue size; seconds
5000000;0.18193712
4900000;0.19720659999999998
4800000;0.20352639999999997
4700000;0.21542314
4600000;0.19254275999999998
4500000;0.18884066
4400000;0.18372316
4300000;0.18640549999999997
4200000;0.1959844
4100000;0.19843342
4000000;0.1928379
3900000;0.18803746
3800000;0.20984732
3700000;0.20199622
3600000;0.19569874
3500000;0.19542574000000001
3400000;0.19285812000000002
3300000;0.19527248
3200000;0.19578726
3100000;0.19250714
3000000;0.19818144000000001
2900000;0.19558962
2800000;0.19196570000000002
2700000;0.19885859999999997
2600000;0.19759407999999998
2500000;0.20245167999999997
2400000;0.21500478000000003
2300000;0.21647455999999998
2200000;0.21337646000000002
2100000;0.20733144
2000000;0.20349873999999998
1900000;0.19394584
1800000;0.19378688000000002
1700000;0.19655589999999998
1600000;0.19808529999999996
1500000;0.1950732
1400000;0.19309819999999997
1300000;0.19122356
1200000;0.18558822
1100000;0.18787315999999998
1000000;0.18202516
900000;0.17846836
800000;0.16767884000000002
700000;0.16135278
600000;0.14866382000000003
500000;0.14385518000000003
400000;0.1279548
300000;0.11394508
200000;0.0940912
100000;0.05541274
